WordnetID	Synsets	Definition
n00309906	"campaign,hunting_expedition,safari"	an overland journey by hunters (especially in Africa)
n09172283	"Sahara,Sahara_Desert"	"the world's largest desert (3,500,000 square miles) in northern Africa"
n00312932	"cruise,sail"	an ocean trip taken for pleasure
n04128837	"sailing_vessel,sailing_ship"	a vessel that is powered by the wind; often having several masts
n07806221	salad	food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens
n15019030	sand	a loose material consisting of grains of rock or coral
n07695965	sandwich	two (or more) slices of bread with a filling between them
n04137089	sash_window	a window with (usually two) sashes that slide vertically to let in air
n08645847	"savanna,savannah"	a flat grassland in tropical or subtropical regions
n04141712	"scaffolding,staging"	a system of scaffolds
n02172518	"scarab,scarabaeus,Scarabaeus_sacer"	scarabaeid beetle considered divine by ancient Egyptians
n02113335	"poodle,poodle_dog"	an intelligent dog with a heavy curly solid-colored coat that is usually clipped; an old breed sometimes trained as sporting dogs or as performing dogs
n08276720	school	an educational institution
n04146614	school_bus	a bus used to transport children to or from school
n04147183	schooner	sailing vessel used in former times
n03791053	"motor_scooter,scooter"	a wheeled vehicle with small wheels and a low-powered gasoline engine geared to the rear wheel
n04149813	scoreboard	a large board for displaying the score of a contest (and some other information)
n04150668	scrap	a small piece of something that is left over after the rest has been used
n09426788	sea	a division of an ocean or a large body of salt water partially enclosed by land
n02077923	sea_lion	any of several large eared seals of the northern Pacific related to fur seals but lacking their valuable coat
n02021795	"seabird,sea_bird,seafowl"	a bird that frequents coastal waters and the open ocean: gulls; pelicans; gannets; cormorants; albatrosses; petrels; etc.
n07776866	seafood	edible fish (broadly including freshwater fish) or shellfish or roe etc
n02076196	seal	any of numerous marine mammals that come on shore to breed; chiefly of cold regions
n15236475	"season,time_of_year"	one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
n01397497	seaweed	"plant growing in the sea, especially marine algae"
n04166281	"sedan,saloon"	a car that is closed and that has front and rear seats and two or four doors
n08327816	seminar	any meeting for an exchange of ideas
n10376523	"oldster,old_person,senior_citizen,golden_ager"	an elderly person
n05677504	sense	a general conscious awareness
n01726692	"snake,serpent,ophidian"	limbless scaly elongate reptile; some are venomous
n13984944	shadow	shade within clear boundaries
n05064037	"shape,form,configuration,contour,conformation"	any spatial attributes (especially as defined by outline)
n04187547	shed	an outbuilding with a single story; used for shelter or storage
n02411705	sheep	woolly usually horned ruminant mammal related to the goat
n04190052	shelf	a support that consists of a horizontal surface for holding objects
n04210390	shrine	a place of worship hallowed by association with some sacred thing or person
n00122661	"shooting,shot"	the act of firing a projectile
n04201845	"shooting_gallery,shooting_range"	an enclosed firing range with targets for rifle or handgun practice
n00081836	shopping	searching for or buying goods or services
n03965456	"plaza,mall,center,shopping_mall,shopping_center,shopping_centre"	mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace
n09433442	shore	the land along the edge of a body of water
n02022684	"shorebird,shore_bird,limicoline_bird"	any of numerous wading birds that frequent mostly seashores and estuaries
n13112664	"shrub,bush"	a low woody perennial plant usually having several major stems
n07580053	"side_dish,side_order,entremets"	"a dish that is served with, but is subordinate to, a main course"
n04215402	"sidewalk,pavement"	walk consisting of a paved area for pedestrians; usually beside a street or roadway
n15041050	siding	material applied to the outside of a building to make it weatherproof
n06646243	"sign,mark"	a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n08613345	silhouette	an outline of a solid object (as cast by its shadow)
n14654954	"silver,Ag,atomic_number_47"	a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
n10599806	"singer,vocalist,vocalizer,vocaliser"	a person who sings
n10624540	"songwriter,songster,ballad_maker"	a composer of words or music for popular songs
n00545501	"singing,vocalizing"	the act of singing vocal music
n04223580	sink	plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
n00344259	sitting	the act of assuming or maintaining a seated position
n00448466	skating	the sport of gliding on skates
n07203016	"sketch,vignette"	a brief literary description
n04228054	ski	narrow wood or metal or plastic runners used in pairs for gliding over snow
n04229480	skiff	any of various small boats propelled by oars or by sails or by a motor
n05238282	"skin,tegument,cutis"	a natural protective body covering and site of the sense of touch
n05540121	skull	the bony skeleton of the head of vertebrates
n09436708	sky	the atmosphere and outer space as viewed from the earth
n04233124	skyscraper	a very tall building with many stories
n08492546	"air_lane,flight_path,airway,skyway"	a designated route followed by airplanes in flying from one airport to another
n14024882	"sleep,slumber"	a natural and periodic state of rest during which consciousness of the world is suspended
n04236377	"sleeve,arm"	the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
n08651832	"slum,slum_area"	a district of a city marked by poverty and inferior living conditions
n06878071	"smile,smiling,grin,grinning"	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
n07712382	snack_food	food for light meals or for eating between meals
n04248607	"snapshot,snap,shot"	an informal photograph; usually made with a small hand-held camera
n03472535	"gym_shoe,sneaker,tennis_shoe"	a canvas shoe with a pliable rubber sole
n02452637	"snout,neb"	a long projecting or anterior elongation of an animal's head; especially the nose
n11508382	"snow,snowfall"	precipitation falling from clouds in the form of ice crystals
n04251791	snowboard	a board that resembles a broad ski or a small surfboard; used in a standing position to slide down snow-covered slopes
n00329468	snowboarding	the act of sliding down a snow-covered slope while standing on a snowboard
n04252331	snowshoe	a device to help you walk on deep snow; a lightweight frame shaped like a racquet is strengthened with cross pieces and contains a network of thongs; one is worn on each foot
n10618342	soccer_player	an athlete who plays soccer
n04295881	"stadium,bowl,arena,sports_stadium"	a large structure for open-air sports or entertainments
n07950920	social_group	people sharing some social relation
n10619409	socialite	a socially prominent person
n07927197	soft_drink	nonalcoholic beverage (usually carbonated)
n09335240	"land,ground,soil"	material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)
