WordnetID	Synsets	Definition
n03047052	clock_tower	a tower with a large clock visible high up on an outside face
n03049695	closeup	a photograph taken at close range
n11439690	cloud	"any collection of particles (e.g., smoke or dust) or gases that is visible"
n08227214	"club,social_club,society,guild,gild,lodge,order"	a formal association of people with similar interests
n09428293	"seashore,coast,seacoast,sea-coast"	the shore of a sea or ocean
n03059528	"cobble,cobblestone,sett"	rectangular paving stone with curved top; once used to make roads
n07911677	cocktail	a short mixed drink
n03062015	"cocktail_dress,sheath"	a dress suitable for formal occasions
n07773238	"coconut,coconut_meat"	the edible white meat of a coconut; often shredded for use in e.g. cakes and curries
n07929519	"coffee,java"	a beverage consisting of an infusion of ground coffee beans
n03063073	coffee_cup	a cup from which coffee is drunk
n13388245	coin	a flat metal piece (usually a disc) used as money
n04026417	purse	a small bag for carrying money
n03067912	"collage,montage"	a paste-up made by sticking together pieces of paper or photographs to form an artistic image
n03068181	"collar,neckband"	a band that fits around the neck and is usually folded over
n00471613	"baseball,baseball_game"	a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
n00463543	"ice_hockey,hockey,hockey_game"	a game played on an ice rink by two opposing teams of six skaters each who try to knock a flat round puck into the opponents' goal with angled sticks
n00475787	"softball,softball_game"	a game closely resembling baseball that is played on a smaller diamond and with a ball that is larger and softer
n04956594	"color,colour,coloring,colouring"	a visual attribute of things that results from the light they emit or transmit or reflect
n03073977	"column,pillar"	(architecture) a tall vertical cylindrical structure standing upright and used to support a structure
n00964343	"combat,armed_combat"	an engagement fought between two military forces
n04524313	vehicle	a conveyance that transports people or objects
n06596364	comic_book	a magazine devoted to comic strips
n07003352	"comic_strip,cartoon_strip,strip,funnies"	a sequence of drawings telling a story in a newspaper or comic book
n02892201	"brass,memorial_tablet,plaque"	a memorial made of brass
n01821203	"parakeet,parrakeet,parroket,paraquet,paroquet,parroquet"	any of numerous small slender long-tailed parrots
n03183080	device	an instrumentality invented for a particular purpose
n08223802	community	a group of people living in a particular local area
n03079136	"compact,compact_car"	a small and economical car
n03079230	"compact_disk,compact_disc,CD"	a digitally encoded recording on an optical disk that is smaller than a phonograph record; played back by a laser
n01168569	"competition,contention,rivalry"	the act of competing as for profit or a prize
n03493333	"hardware,computer_hardware"	"(computer science) the mechanical, magnetic, electronic, and electrical components making up a computer system"
n03085013	"computer_keyboard,keypad"	a keyboard that is a data input device for computers; arrangement of keys is modelled after the typewriter keyboard
n03085219	computer_monitor	a device that displays signals on a computer screen
n06568978	"program,programme,computer_program,computer_programme"	(computer science) a sequence of instructions that a computer can interpret and execute
n15093938	wallpaper	a decorative paper for the walls of rooms
n06892775	concert	a performance of music by players or singers not involving theatrical staging
n03088389	condominium	housing consisting of a complex of dwelling units (as an apartment house) in which each unit is individually owned
n07596967	confectionery	candy and other sweets considered collectively
n03478907	hall	a large room for gatherings or entertainment
n06619065	show	a social event involving a public performance or entertainment
n13108841	"conifer,coniferous_tree"	any gymnospermous tree or shrub bearing cones
n00911048	"construction,building"	the act of constructing something
n09959527	"construction_worker,hard_hat"	a worker skilled in building offices or dwellings etc.
n00433458	contact_sport	a sport that necessarily involves body contact between opposing players
n03098959	control_tower	a tower with an elevated workspace enclosed in glass for the visual observation of aircraft around an airport
n03519981	"highway,main_road"	a major road for any form of motor transport
n03099274	convenience_store	a store selling a limited variety of food and pharmaceutical items; open long hours for the convenience of customers
n08309086	convention	a large formal assembly
n02993546	"center,centre"	a building dedicated to a particular activity
n07133701	conversation	the use of speech for informal exchange of views or ideas or information etc.
n03100240	convertible	a car that has top that can be folded or removed
n09963320	cook	someone who cooks food
n07635155	"cookie,cooky,biscuit"	any of various small flat sweet cakes (`biscuit' is the British term)
n07681926	cracker	a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet
n00243918	"cooking,cookery,preparation"	the act of preparing something (as food) by the application of heat
n04904162	"aplomb,assuredness,cool,poise,sang-froid"	great coolness and composure under strain
n01915811	coral	marine colonial polyp characterized by a calcareous skeleton; masses in a variety of shapes often forming reefs
n09256479	coral_reef	a reef consisting of coral consolidated into limestone
n03113152	cosmetic	a toiletry designed to beautify the body
n07007945	"play,drama,dramatic_play"	a dramatic work intended for performance by actors on a stage
n03113657	costume	the attire worn in a play or at a fancy dress ball
n02919792	"bungalow,cottage"	a small house with a single story
n04256520	"sofa,couch,lounge"	an upholstered seat for more than one person
n03118245	countertop	the top side of a counter
n03121298	courthouse	a building that houses judicial courts
n03120198	"court,courtyard"	an area wholly or partly surrounded by walls or buildings
n09257761	cove	a small inlet
n02416519	"goat,caprine_animal"	any of numerous agile ruminants related to sheep but having a beard and straight horns
n03126707	crane	lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis
n09472413	"volcanic_crater,crater"	a bowl-shaped geological formation at the top of a volcano
n09229409	"brook,creek"	a natural stream of water smaller than a river (and often a tributary of a river)
n13896217	crescent	any shape resembling the curved shape of the moon in its first or last quarters
n08242799	"gang,crew,work_party"	an organized group of workmen
n03132879	"crochet,crocheting"	needlework done by interlocking looped stitches with a hooked needle
n11530512	crop	a cultivated plant that is grown commercially on a large scale
n04681387	"crisscross,cross,mark"	a marking that consists of lines that cross each other
n00440039	"track,running"	the act of participating in an athletic competition involving running on a track
n00451370	cycling	the sport of traveling on a bicycle or motorcycle
n04285965	"sport_utility,sport_utility_vehicle,S.U.V.,SUV"	a high-performance four-wheel drive car built on a truck chassis
n08182379	crowd	a large number of things or people considered together
n03141327	"cruise_ship,cruise_liner"	a passenger ship used commercially for pleasure cruises
n03141065	"cruiser,police_cruiser,patrol_car,police_car,prowl_car,squad_car"	a car in which policemen cruise the streets; equipped with radiotelephonic communications to headquarters
n03142431	crypt	a cellar or vault or underground burial chamber (especially beneath a church)
n12158148	"Cucurbita,genus_Cucurbita"	type genus of the Cucurbitaceae
n03145522	"cue,cue_stick,pool_cue,pool_stick"	sports implement consisting of a tapering rod used to strike a cue ball in pool or billiards
n07571324	"cuisine,culinary_art"	the practice or manner of preparing food or the food so prepared
n09261960	"cumulus,cumulus_cloud"	a globular cloud
n03147509	cup	a small open container usually used for drinking; usually has a handle
n03148324	"cupboard,closet"	a small room (or recess) or cabinet used for storage space
n07631023	cupcake	small cake baked in a muffin tin
n13385913	currency	the metal or paper medium of exchange that is presently used
n07823951	curry	(East Indian cookery) a pungent dish of vegetables or meats flavored with curry powder and usually eaten with rice
n03151077	"curtain,drape,drapery,mantle,pall"	hanging cloth used as a blind (especially for a window)
n11960245	"dahlia,Dahlia_pinnata"	any of several plants of or developed from the species Dahlia pinnata having tuberous roots and showy rayed variously colored flower heads; native to the mountains of Mexico and Central America and Colombia
n02406174	"dairy_cattle,dairy_cow,milch_cow,milk_cow,milcher,milker"	cattle that are reared for their milk
n07843775	dairy_product	milk and butter and cheese
n11939491	daisy	any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
n02268853	damselfly	slender non-stinging insect similar to but smaller than the dragonfly but having wings folded when at rest
n07020538	dance	an artistic form of nonverbal communication
n12024176	"dandelion,blowball"	any of several herbs of the genus Taraxacum having long tap roots and deeply notched leaves and bright yellow flowers followed by fluffy seed balls
n13983515	"dark,darkness"	absence of light or illumination
n12593994	"date_palm,Phoenix_dactylifera"	tall tropical feather palm tree native to Syria bearing sweet edible fruit
n15155220	"day,twenty-four_hours,twenty-four_hour_period,24-hour_interval,solar_day,mean_solar_day"	time for Earth to make a complete rotation on its axis
n00608645	lighting	the craft of providing artificial light
n12456845	"day_lily,daylily"	any of numerous perennials having tuberous roots and long narrow bladelike leaves and usually yellow lily-like flowers that bloom for only a day
n15164957	"day,daytime,daylight"	the time after sunrise and before sunset while it is light outside
n03579355	"interior_decoration,decor"	decoration consisting of the layout and furnishings of a livable interior
n02430045	"deer,cervid"	distinguished from Bovidae by the male's having solid deciduous antlers
n09615211	"defender,withstander"	a fighter who holds out against attack
n07594406	"delicatessen,delicatessen_food"	ready-to-eat food products
n01249483	demolition	the act of demolishing
n00521562	"presentation,presentment,demonstration"	a show or display; the act of presenting something to sight or view
n12059314	dendrobium	a plant of the genus Dendrobium having stems like cane and usually showy racemose flowers
n03594734	"jean,blue_jean,denim"	(usually plural) close-fitting trousers of heavy denim for manual work or casual wear
n08505573	desert	arid land with little or no vegetation
n03179701	desk	a piece of furniture with a writing surface and usually drawers or other compartments
n03180011	desktop_computer	a personal computer small enough to fit conveniently in an individual workspace
n07609840	"dessert,sweet,afters"	a dish served as the last course of a meal
n03180504	"destroyer,guided_missile_destroyer"	a small fast lightly armored but heavily armed warship
n14834132	dew	water that has condensed on a cool surface overnight from water vapor in the air
n03186399	diagram	a drawing intended to explain how something works; a drawing showing the relation between the parts
n03196062	digital_camera	a camera that encodes an image digitally and store it for later reproduction
n03199901	"dinghy,dory,rowboat"	a small boat of shallow draft with cross thwarts for seats and rowlocks for oars with which it is propelled
n00313806	sailing	riding in a sailboat
n03200701	"dining_room,dining-room"	a room used for dining
n07575726	dinner	the main meal of the day served in the evening or at midday
n01699831	dinosaur	any of numerous extinct terrestrial reptiles of the Mesozoic era
n06478582	"diploma,sheepskin"	a document certifying the successful completion of a course of study
n04096066	"road,route"	an open way (generally public) for travel or transportation
n07314838	"calamity,catastrophe,disaster,tragedy,cataclysm"	an event resulting in great loss and misfortune
n10017272	"disk_jockey,disc_jockey,dj"	a person who announces and plays popular recorded music
n07059626	"disco,disco_music"	popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly for dancing at discotheques
n03206908	dish	a piece of dishware normally used as a container for holding or serving food
n03133538	"crockery,dishware"	tableware (eating and serving dishes) collectively
n03210940	"display,presentation"	a visual representation of something
n03211789	"display_window,shop_window,shopwindow,show_window"	a window of a store facing onto the street; used to display merchandise for sale in the store
n07881800	"beverage,drink,drinkable,potable"	any liquid suitable for drinking
n00442981	"dive,diving"	a headlong plunge into water
n03933529	"pier,wharf,wharfage,dock"	a platform built out from the shore into the water and supported by piles; provides access to ships and boats
n06470073	"document,written_document,papers"	writing that provides information (especially information of an official nature)
n01327322	"hybrid,crossbreed,cross"	(genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species
n00283568	"walk,walking"	the act of traveling by foot
n03219135	"doll,dolly"	a small replica of a person; used as a toy
n02068974	dolphin	any of various small toothed whales with a beaklike snout; larger than porpoises
n03220513	dome	a hemispherical roof
n02417070	"domestic_goat,Capra_hircus"	any of various breeds of goat raised for milk or meat or wool
n02121808	"domestic_cat,house_cat,Felis_domesticus,Felis_catus"	any domesticated member of the genus Felis
n03221720	door	a swinging or sliding barrier that will close the entrance to a room or building or vehicle
n07463872	downhill	a ski race down a trail
n08539072	"business_district,downtown"	the central area or commercial center of a town or city
n02268443	"dragonfly,darning_needle,devil's_darning_needle,sewing_needle,snake_feeder,snake_doctor,mosquito_hawk,skeeter_hawk"	slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc.
n03233905	drawer	a boxlike container in a piece of furniture; made so as to slide in and out
n07003119	drawing	"an illustration that is drawn by hand and published in a book, magazine, or newspaper"
n03236735	"dress,frock"	a one-piece garment for a woman; has skirt and bodice
n10034020	"drill_master,drill_instructor"	a noncommissioned officer who instructs recruits in military marching and discipline
n04516672	utensil	an implement for practical use (especially in a household)
n03244388	"driveway,drive,private_road"	a road leading up to a private house
n00298497	driving	the act of controlling and steering the movement of a vehicle or animal
n13901585	"drop,bead,pearl"	a shape that is spherical and small
n03249569	"drum,membranophone,tympan"	a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end
n10036929	drummer	someone who plays a drum
n07456188	"contest,competition"	an occasion on which a winner is selected from among two or more contestants
n01846331	duck	small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
n01858441	swan	stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult
n10083358	"fellow,dude,buster"	an informal form of address for a man
n09270735	"dune,sand_dune"	a ridge of sand created by the wind; found in deserts or near lakes and oceans
n15169421	"twilight,dusk,gloaming,gloam,nightfall,evenfall,fall,crepuscule,crepuscle"	the time of day immediately following sunset
n01613294	"eagle,bird_of_Jove"	any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
n05320899	ear	the sense organ for hearing and equilibrium
n03262349	earring	jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe
n09270894	"Earth,earth,world,globe"	the 3rd planet from the sun; the planet we live on
n00838367	"eating,feeding"	the act of consuming food
n13934596	environment	the totality of surrounding conditions
n08368757	ecosystem	a system formed by the interaction of a community of organisms with their physical environment
n00883297	"education,instruction,teaching,pedagogy,didactics,educational_activity"	the activities of educating or instructing; activities that impart knowledge or skill
n01057200	"provision,supply,supplying"	the activity of supplying or providing something
n04595855	wiring	a circuit of wires for the distribution of electricity
n11449907	electricity	a physical phenomenon associated with stationary or moving electrons and protons
n03277771	electronic_device	a device that accomplishes its purpose electronically
n03279153	"electronic_instrument,electronic_musical_instrument"	a musical instrument that generates sounds electronically
n08074421	signage	signs collectively (especially commercial signs or posters)
n06099269	electronics	the branch of physics that deals with the emission and effects of electrons and with the use of electronic devices
n02671421	"accessory,appurtenance,supplement,add-on"	a supplementary component that improves capability
n02503517	elephant	five-toed pachyderm
n01536916	"Emberizidae,subfamily_Emberizidae,subfamily_Emberizinae"	buntings and some New World sparrows
n07417405	"emergency,exigency,pinch"	a sudden unforeseen crisis (usually involving danger) that requires immediate action
n01209576	service	an act of help or assistance
n07480068	emotion	any strong feeling
n05032565	endurance	the power to withstand hardship or stress
n00299933	endurance_riding	riding for long hours over long distances
n11452218	"energy,free_energy"	(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
n12849952	"English_lavender,Lavandula_angustifolia,Lavandula_officinalis"	aromatic Mediterranean shrub widely cultivated for its lilac flowers which are dried and used in sachets
n00299217	"riding,horseback_riding"	travel by being carried on horseback
n00429048	"entertainment,amusement"	an activity that is diverting and that holds the attention
n00450700	equestrian_sport	a sport that tests horsemanship
n07920052	espresso	strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans
n13246662	"estate,land,landed_estate,acres,demesne"	extensive landed property (especially in the country) retained by the owner for his own use
n09274500	estuary	the wide part of a river where it nears the sea; fresh and salt water mix
n07555863	"food,solid_food"	any solid substance (as opposed to liquid) that is used as a source of nourishment
n01772222	spider	"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey"
n15166462	"evening,eve,even,eventide"	the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
n00029378	event	something that happens at a given place and time
n13099833	"evergreen,evergreen_plant"	a plant having foliage that persists and remains green throughout the year
n00522145	exhibition	the act of exhibiting
n05311054	"eye,oculus,optic"	the organ of sight
n05313535	"eyebrow,brow,supercilium"	the arch of hair above each eye
n05314919	"eyelash,lash,cilium"	any of the short curved hairs that grow from the edges of the eyelids
n04272054	"spectacles,specs,eyeglasses,glasses"	optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision
n03313333	"facade,frontage,frontal"	the face or front of a building
n05600637	"face,human_face"	the front of the human head from the forehead to the chin and ear to ear
n04679738	"expression,look,aspect,facial_expression,face"	the feelings expressed on a person's face
n05261404	facial_hair	hair on the face (especially on the face of a man)
n03316406	"factory,mill,manufacturing_plant,manufactory"	a plant consisting of one or more buildings with facilities for manufacturing
n00519333	"carnival,fair,funfair"	a traveling show; having sideshows and rides and games of skill etc.
n01610955	falcon	diurnal birds of prey having long pointed powerful wings adapted for swift flight
n07970406	"family,family_unit"	primary social group; parents and children
n00382474	"reunion,reunification"	the act of coming together again
n03322099	farm	workplace consisting of farm buildings and cultivated land as a unit
n03322836	farmhouse	house for a farmer and family
n03323593	fashion	consumer goods (especially clothing) in the current mode
n02671780	"accessory,accoutrement,accouterment"	"clothing that is worn or carried, but not part of your main clothing"
n07560193	fast_food	inexpensive food (hamburgers or chicken or milkshakes) prepared and served quickly
n07993279	"fauna,zoology"	all the animal life in a particular region or period
n00222376	fell	the act of felling something (as a tree)
n09619168	"female,female_person"	a person who belongs to the sex that can have babies
n11545714	fern	any of numerous flowerless and seedless vascular plants having true roots from a rhizome and fronds that uncurl upward; reproduce by spores
n03329302	Ferris_wheel	a vertical rotating mechanism consisting of a large wheel with suspended seats that remain upright as the wheel rotates; provides a ride at an amusement park
n03329663	"ferry,ferryboat"	a boat that transports people or vehicles across a body of water and operates on a regular schedule
n15162388	festival	a day or period of time set aside for feasting and celebration
n06367107	fiction	a literary work based on the imagination and not necessarily on fact
n09587565	"fictional_character,fictitious_character,character"	an imaginary person represented in a work of fiction (play or film or story)
n04536866	"violin,fiddle"	bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
n08569998	field	a piece of land cleared of trees and usually enclosed
n03335030	"fighter,fighter_aircraft,attack_aircraft"	a high-speed military or naval airplane designed to destroy enemy aircraft in the air
n03336459	"figurine,statuette"	a small carved or molded figure
n06617165	film_noir	"a movie that is marked by a mood of pessimism, fatalism, menace, and cynical characters"
n01529672	finch	any of numerous small songbirds with short stout bills adapted for crushing seeds
n05566504	finger	any of the terminal members of the hand (sometimes excepting the thumb)
n11620673	"fir,fir_tree,true_fir"	any of various evergreen trees of the genus Abies; chiefly of upland areas
n07302836	fire	the event of something burning (often destructive)
n02727825	"apparatus,setup"	equipment designed to serve a specific function
n08121117	fire_department	the department of local government responsible for preventing and extinguishing fires
n03343853	"firearm,piece,small-arm"	a portable gun
n10091651	"fireman,firefighter,fire_fighter,fire-eater"	a member of a fire department who tries to extinguish fires
n03346455	"fireplace,hearth,open_fireplace"	an open recess in a wall at the base of a chimney where a fire can be built
n03348454	"firework,pyrotechnic"	(usually plural) a device with an explosive that burns at a low rate and with colored flames; can be used to illuminate areas or send signals etc.
n09397391	"pond,pool"	a small lake
n04583212	"wide-angle_lens,fisheye_lens"	a camera lens having a wider than normal angle of view (and usually a short focal length); produces an image that is foreshortened in the center and increasingly distorted in the periphery
n00453935	"fishing,sportfishing"	the act of someone who fishes as a diversion
n03351262	"fishing_boat,fishing_smack,fishing_vessel"	a vessel for fishing; often has a well to keep the catch alive
n09281104	"fjord,fiord"	a long narrow inlet of the sea between steep cliffs; common in Norway
n03354903	flag	emblem usually consisting of a rectangular piece of cloth of distinctive design
n13480848	"fire,flame,flaming"	the process of combustion of inflammable materials producing heat and light and (often) smoke
n03361380	"flat_panel_display,FPD"	a type of video display that is thin and flat; commonly used in laptop computers
n05715864	"relish,flavor,flavour,sapidity,savor,savour,smack,nip,tang"	the taste experience when a savoury condiment is taken into the mouth
n00302394	"flight,flying"	an instance of traveling by air
n01517565	"ratite,ratite_bird,flightless_bird"	flightless birds having flat breastbones lacking a keel for attachment of flight muscles: ostriches; cassowaries; emus; moas; rheas; kiwis; elephant birds
n07990956	flock	a group of birds
n09281914	"floodplain,flood_plain"	a low plain adjacent to a river that is formed chiefly of river sediment and is subject to flooding
n03365592	"floor,flooring"	"the inside lower horizontal surface (as of a room, hallway, tent, or other structure)"
n08436759	"vegetation,flora,botany"	all the plant life in a particular region or period
n03178782	"design,pattern,figure"	a decorative or artistic work
n12620196	"rose,rosebush"	any of many shrubs of the genus Rosa that bear roses
n00017222	"plant,flora,plant_life"	(botany) a living organism lacking the power of locomotion
n11669921	flower	a plant cultivated for its blooms or blossoms
n03368141	"flower_arrangement,floral_arrangement"	a decorative arrangement of flowers
n02879087	"bouquet,corsage,posy,nosegay"	an arrangement of flowers that is usually given as a present
n11665372	"angiosperm,flowering_plant"	plants having seeds in a closed ovary
n03991062	"pot,flowerpot"	a container in which plants are cultivated
n02190166	fly	two-winged insects characterized by active flight
n02376542	foal	a young horse
n14521648	"fog,fogginess,murk,murkiness"	an atmosphere in which visibility is reduced because of a cloud of some substance
n00537682	"folk_dancing,folk_dance"	a style of dancing that originated among ordinary people (not in the royal courts)
n06825399	"font,fount,typeface,face,case"	a specific size and style of type within a type family
n03378005	food_court	an area (as in a shopping mall) where fast food is sold (usually around a common eating area)
n07460104	"footrace,foot_race,run"	a race run on foot
n10101634	"football_player,footballer"	an athlete who plays American football
n04113406	"roulette_wheel,wheel"	game equipment consisting of a wheel with slots that is used for gambling; the wheel rotates horizontally and players bet on which slot the roulette ball will stop in
n03381126	footwear	clothing worn on a person's feet
n10974592	"Ford,Henry_Ford"	United States manufacturer of automobiles who pioneered mass production (1863-1947)
n05602548	"brow,forehead"	the part of the face above the eyes
n08438533	"forest,wood,woods"	the trees and other plants in a large densely wooded area
n03201638	"dinner_dress,dinner_gown,formal,evening_gown"	a gown for evening wear
n00237078	"constitution,establishment,formation,organization,organisation"	the act of forming or establishing something
n03790512	"motorcycle,bike"	a motor vehicle with two wheels and a strong frame
n03385557	"fortification,munition"	defensive structure consisting of walls or mounds built around a stronghold to strengthen it
n03388043	fountain	a structure from which an artificially produced jet of water arises
n01789740	"domestic_fowl,fowl,poultry"	a domesticated gallinaceous bird thought to be descended from the red jungle fowl
n02356798	"fox_squirrel,eastern_fox_squirrel,Sciurus_niger"	exceptionally large arboreal squirrel of eastern United States
n04225987	skateboard	a board with wheels that is ridden in a standing or crouching position and propelled by foot
n07460651	freestyle	a race (as in swimming) in which each contestant has a free choice of the style to use
n13484644	"freeze,freezing"	the withdrawal of heat to change something from a liquid to a solid
n03393912	freight_car	a railway car that carries freight
n01106272	"freight,freightage"	transporting goods commercially at rates cheaper than express rates
n07711080	"french_fries,french-fried_potatoes,fries,chips"	strips of potato fried in deep fat
n03397412	frigate	a medium size square-rigged warship of the 18th and 19th centuries
n01639765	"frog,toad,toad_frog,anuran,batrachian,salientian"	any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
n14915622	"frost,hoar,hoarfrost,rime"	ice crystals forming a white deposit (especially on objects outside)
n13134947	fruit	the ripened reproductive body of a seed plant
n15207556	"full_moon,full-of-the-moon,full_phase_of_the_moon,full"	the time when the Moon is fully illuminated
n00429949	"fun,merriment,playfulness"	activities that are enjoyable or amusing
n12992868	fungus	an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia
n14764061	"fur,pelt"	the dressed hairy coat of a mammal
n03405725	"furniture,piece_of_furniture,article_of_furniture"	furnishings that make a room or other area ready for occupancy
n02729965	"appliance,contraption,contrivance,convenience,gadget,gizmo,gismo,widget"	a device or control that is very useful for a particular job
n08271042	"galaxy,extragalactic_nebula"	(astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust
n03411339	galleon	a large square-rigged sailing ship with three or more masts; used by the Spanish for commerce and war from the 15th to 18th centuries
n01789064	"Galliformes,order_Galliformes"	pheasants; turkeys; grouse; partridges; quails; chickens; brush turkeys; curassows; hoatzins
n03417345	garden	a plot of ground where plants are cultivated
n10120533	"gardener,nurseryman"	someone who takes care of a garden
n03418488	gargoyle	an ornament consisting of a grotesquely carved figure of a person or animal
n03427296	gate	a movable barrier in a fence or wall
n03429288	"gauge,gage"	a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.
n09532214	"Buddha,Siddhartha,Gautama,Gautama_Siddhartha,Gautama_Buddha"	founder of Buddhism; worshipped as a god (c 563-483 BC)
n14699752	"gem,gemstone,stone"	a crystalline rock that can be cut and polished for jewelry
n08067218	aviation	the operation of aircraft to provide transportation
n10126009	"general_practitioner,GP"	a physician who is not a specialist but treats all illnesses
n10127273	gentleman	a man of refinement
n05850212	"feature_of_speech,feature"	(linguistics) a distinctive characteristic of a linguistic unit that serves to distinguish it from other units of the same kind
n11417672	geological_phenomenon	a natural phenomenon involving the structure or composition of the earth
n06115701	geology	a science that deals with the history of the earth as recorded in rocks
n02343772	"gerbil,gerbille"	small Old World burrowing desert rodent with long soft pale fur and hind legs adapted for leaping
n09288635	geyser	a spring that discharges hot water and steam
n02439033	"giraffe,camelopard,Giraffa_camelopardalis"	tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa
n02438774	"Giraffidae,family_Giraffidae"	giraffes
n10129825	"girl,miss,missy,young_lady,young_woman,fille"	a young woman
n09289331	glacier	a slowly moving mass of ice
n14881303	glass	a brittle transparent solid with irregular atomic structure
n02092468	terrier	any of several usually small short-bodied breeds originally trained to hunt animals living underground
n00187337	goal	a successful attempt at scoring
n14638799	"gold,Au,atomic_number_79"	a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia
n02099601	golden_retriever	an English breed having a long silky golden coat
n00464894	"golf,golf_game"	a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes
n03446070	"golf_club,golf-club,club"	golf equipment used by a golfer to hit a golf ball
n03446528	"golf_course,links_course"	course consisting of a large landscaped area for playing golf
n01855672	goose	web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
n02480855	"gorilla,Gorilla_gorilla"	largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa
n05842387	"Gothic,Gothic_architecture"	a style of architecture developed in northern France that spread throughout Europe between the 12th and 16th centuries; characterized by slender vertical piers and counterbalancing buttresses and by vaulting and pointed arches
n12157769	"gourd,gourd_vine"	any vine of the family Cucurbitaceae that bears fruits with hard rinds
n03450230	gown	"a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions"
n00212065	graduation	the successful completion of a program of study
n03451798	"graffito,graffiti"	a rude decoration inscribed on rocks or walls
n10143172	grandparent	a parent of your father or mother
n06999045	graphic_design	"visual communication by a skillful combination of text and pictures in advertisements, magazines, books, etc."
n12102133	grass	narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
n12100538	"Gramineae,family_Gramineae,Graminaceae,family_Graminaceae,Poaceae,family_Poaceae,grass_family"	the grasses: chiefly herbaceous but some woody plants including cereals; bamboo; reeds; sugar cane
n08598301	grassland	land where grass or grasslike vegetation grows and is the dominant form of plant life
n03455033	"grave,tomb"	a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
n14698884	"gravel,crushed_rock"	rock fragments and pebbles
n07838073	gravy	"a sauce made by adding stock, flour, or other ingredients to the juice and fat that drips from cooking meats"
n00841091	"graze,grazing"	the act of grazing
n02480153	"great_ape,pongid"	any of the large anthropoid apes of the family Pongidae
n04967191	"green,greenness,viridity"	green color or pigment; resembling the color of growing grass
n10146559	greengrocer	a grocer who sells fresh fruits and vegetables
n03457902	"greenhouse,nursery,glasshouse"	a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
n03459775	"grille,radiator_grille"	grating that admits cooling air to car's radiator
n00246754	"broil,broiling,grilling"	cooking by direct exposure to radiant heat (as over a fire or under a grill)
n03461385	"grocery_store,grocery,food_market,market"	a marketplace where groceries are sold
n10148035	"groom,bridegroom"	a man participant in his own marriage ceremony
n03463832	"grove,woodlet,orchard,plantation"	garden consisting of a small cultivated wood without undergrowth
n03467517	guitar	a stringed instrument usually having six strings; played by strumming or plucking
n10151760	"guitarist,guitar_player"	a musician who plays the guitar
n02041246	"gull,seagull,sea_gull"	mostly white aquatic bird having long pointed wings and short legs
n03467984	gun	a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)
n03456299	"grease-gun,gun"	a hand-operated pump that resembles a revolver; forces grease into parts of a machine
n08580583	"habitat,home_ground"	the type of environment in which an organism or group normally lives or occurs
n13252395	hacienda	a large estate in Spanish-speaking countries
n04976188	hair_coloring	coloring of the hair
n05256862	"hairdo,hairstyle,hair_style,coiffure,coif"	the arrangement of the hair (especially a woman's hair)
n07460546	marathon	a footrace of 26 miles 385 yards
n03479952	"hallway,hall"	an interior passage or corridor onto which rooms open
