n08665281	noun.location	the part of the Earth's surface between the Tropic of Cancer and the Tropic of Capricorn; characterized by a hot climate
s00324481	adj.all	causing or able to cause motion
a02923745	adj.pert	of or relating to or supporting Hinduism
n05851131	noun.cognition	any feature that is regarded as a sign of status (a particular power or quality or rank)
n05155123	noun.attribute	something or someone turned to for assistance or security
n03147509	noun.artifact	a small open container usually used for drinking; usually has a handle
n05925702	noun.cognition	an outstanding example of its kind
n14621446	noun.substance	(chemistry) two or more atoms bound together as a single unit and forming part of a molecule
n10438470	noun.person	an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience
v01740969	verb.creation	work in the garden
n06598030	noun.communication	written material intended to be read
n07775197	noun.food	edible seed of sunflowers; used as food and poultry feed and as a source of oil
n08496477	noun.location	the regions to the north of the Arctic Circle centered on the North Pole
n08188638	noun.group	a chorus that sings as part of a religious ceremony
v00180728	verb.change	remove used dishes from the table in restaurants
v01419982	verb.contact	engage in a boxing match
n03173387	noun.artifact	a shop selling ready-to-eat food products
n02687423	noun.artifact	the engine that powers and aircraft
n14841267	noun.substance	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
n09479424	noun.object	a wooded region in northeastern Virginia near Spotsylvania where bloody but inconclusive battles were fought in the American Civil War
n13262913	noun.possession	that which is inherited; a title or property or estate that passes by law to the heir on the death of the owner
n02873244	noun.artifact	British term for the luggage compartment in a car
n00579334	noun.act	the service (electric power or water or transportation) provided by a public utility
n08160697	noun.group	the ancient Greek inhabitants of Aeolia
n13793330	noun.relation	something resembling a bridge in form or function
n07775375	noun.food	the flesh of fish used as food
v00730758	verb.cognition	make, formulate, or derive in the mind
n08559508	noun.location	where you live at a particular time
n15155220	noun.time	time for Earth to make a complete rotation on its axis
n00293916	noun.act	the act of running; traveling on foot at a fast pace
n03417345	noun.artifact	a plot of ground where plants are cultivated
n02958343	noun.artifact	a motor vehicle with four wheels; usually propelled by an internal combustion engine
n08672199	noun.location	an administrative division of a county
v00092293	verb.body	grow worse
v01787319	verb.emotion	get very angry
n05844663	noun.cognition	(physics) the characteristic of quarks that determines their role in the strong interaction
n07739125	noun.food	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
n09436708	noun.object	the atmosphere and outer space as viewed from the earth
n03544360	noun.artifact	a dwelling that serves as living quarters for one or more families
a02826701	adj.pert	relating to or concerned with electricity
n03102771	noun.artifact	a cell for violent prisoners
n03574816	noun.artifact	a device that requires skill for proper use
n03704376	noun.artifact	a light-tight supply chamber holding the film and supplying it for exposure as required
n08619620	noun.location	an open area at the meeting of two or more streets
v01381549	verb.contact	gather or bring together
n00275307	noun.act	the act of dyeing or tinting one's hair
n03006105	noun.artifact	a passage for water (or other fluids) to flow through
n09793141	noun.person	a person who lived in ancient times
n14867365	noun.substance	a tough piece of fiber in vegetables, meat, or other food (especially the tough fibers connecting the two halves of a bean pod)
n01320872	noun.animal	an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)
n15292502	noun.time	the period during which someone (especially a guard) is on duty
v01401772	verb.contact	hit hard
n00883297	noun.act	the activities of educating or instructing; activities that impart knowledge or skill
n00558883	noun.act	(American football) a play in which a player attempts to carry the ball through or past the opposing team
s02561123	adj.all	as from an altitude or distance
v00380698	verb.change	to establish a mapping (of mathematical elements or sets)
v01552519	verb.contact	separate with or as if with an instrument
n08377085	noun.group	a connected series of events or actions or developments
n08192817	noun.group	members of a body of troops trained to serve on land or at sea
n02906175	noun.artifact	a sculpture made of bronze
n13416345	noun.possession	a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends
s00988077	adj.all	euphemisms for `fat'
v02498136	verb.social	record a charge in a police register
n07906284	noun.food	a liquor made from fermented mash of grain
s01634736	adj.all	verified officially
v02558951	verb.social	destroy or cause to fail
n05997361	noun.cognition	the discipline that studies the principles of transmiting information and the methods by which it is delivered (as print or radio or television etc.)
r00293416	adv.all	across the countryside
n08494231	noun.location	a commercially operated park with stalls and shows for amusement
v01868370	verb.motion	to move in a twisting or contorted motion, (especially when struggling)
n12849952	noun.plant	aromatic Mediterranean shrub widely cultivated for its lilac flowers which are dried and used in sachets
n02839110	noun.artifact	large outdoor signboard
n03954199	noun.artifact	scale drawing of a structure
s00377524	adj.all	of deep purplish red
n02756751	noun.artifact	the sound elements of television
n00187337	noun.act	a successful attempt at scoring
n06936149	noun.communication	a branch of the Tai languages
v00389406	verb.change	cause to grow thin or weak
v01262813	verb.contact	cut down rough-hewn (lumber) to standard thickness and width
v01109644	verb.competition	defeat by a narrow margin
n03391301	noun.artifact	the framework for a pair of eyeglasses
v01296324	verb.contact	make a bridge across
n03609235	noun.artifact	a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos
v01913997	verb.motion	meet and pass
n00482298	noun.act	a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court
n13875392	noun.shape	a toroidal shape
n03459914	noun.artifact	a restaurant where food is cooked on a grill
v02537092	verb.social	modify or bias
n05859630	noun.cognition	a quantity obtained by multiplication
n10242791	noun.person	a woman of the peerage in Britain
v01975387	verb.motion	raise oneself while hanging from one's hands until one's chin is level with the support bar
v01684337	verb.creation	create by shaping stone or wood or any other hard material
v00891216	verb.communication	protect by insurance
n07508486	noun.feeling	a feeling of self-respect and personal worth
v01817314	verb.emotion	hold spellbound
v01713491	verb.creation	perform or carry out
